stampid,themeid
1,1
1,2
2,1
6,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
17,1
18,3
18,4
19,1
20,1
21,3
21,5
22,1
22,2
23,6
23,7
23,8
24,1
28,1
29,1
29,2
31,1
31,2
37,9
37,10
37,11
38,9
38,10
39,9
39,10
40,9
40,10
40,11
48,9
48,10
49,9
49,10
50,9
50,10
51,9
51,10
53,6
53,7
53,12
53,51
54,6
54,7
54,12
54,51
55,6
55,7
55,12
55,51
57,13
57,14
57,15
58,16
59,17
61,6
61,7
62,18
62,19
63,18
63,19
64,6
64,7
64,12
64,51
65,6
65,7
65,12
65,51
67,3
67,20
68,9
68,10
68,21
68,22
68,23
68,24
68,25
69,23
69,24
69,26
71,6
71,7
71,12
71,51
72,27
72,28
73,29
73,30
73,31
73,32
74,33
74,34
75,23
75,33
75,34
75,35
77,33
77,36
78,9
78,10
78,37
79,9
79,10
79,37
80,9
80,10
80,37
82,9
82,38
82,39
82,40
82,41
83,23
83,42
84,43
85,1
85,2
85,6
85,7
85,44
86,9
86,38
86,39
86,45
86,46
87,6
87,7
87,47
87,82
88,6
88,7
88,47
88,82
89,6
89,7
89,47
89,82
91,23
91,24
91,48
92,23
92,24
92,49
93,3
93,5
93,50
94,3
94,5
94,50
95,3
95,5
95,50
97,45
98,23
98,24
98,48
99,9
99,51
100,9
100,51
101,9
101,51
103,33
103,52
103,53
104,33
104,54
105,23
105,24
105,48
106,9
106,38
106,55
107,9
107,38
107,56
108,9
108,38
108,57
110,27
110,58
111,27
111,59
112,27
112,60
113,27
113,61
113,62
116,3
116,27
116,63
117,27
117,64
119,43
119,65
120,23
120,24
120,48
121,6
121,7
121,16
121,47
121,82
122,33
122,36
122,66
122,67
123,23
123,24
123,68
124,23
124,24
124,68
125,23
125,24
125,68
126,23
126,24
126,68
129,33
129,36
130,33
130,36
132,23
132,24
132,69
133,23
133,24
133,48
134,70
134,71
135,1
135,2
136,1
136,2
137,1
137,2
138,1
138,2
141,33
141,36
141,72
141,73
142,23
142,24
142,25
142,33
142,36
144,74
145,74
146,74
148,29
148,75
149,29
149,75
150,29
150,75
152,23
152,24
152,48
153,29
153,75
154,29
154,75
155,29
155,75
157,9
157,76
157,77
158,9
158,76
158,77
159,9
159,76
159,77
160,9
160,76
160,77
163,78
163,79
163,80
164,78
164,79
164,80
166,31
166,32
167,31
167,32
168,31
168,32
170,23
170,24
170,48
171,29
171,75
172,29
172,75
173,31
173,81
175,6
175,7
175,27
175,47
175,82
176,6
176,7
176,27
176,47
176,82
177,6
177,7
177,27
177,47
177,82
178,6
178,7
178,27
178,47
178,82
181,43
181,83
182,9
182,10
182,78
182,84
183,9
183,10
183,78
183,84
185,27
186,27
186,85
188,27
188,86
189,23
189,24
189,48
190,6
190,7
190,16
190,33
190,47
190,82
190,87
190,88
190,89
191,18
191,90
192,18
192,90
194,9
194,10
194,91
194,92
195,9
195,10
195,91
195,92
196,9
196,10
196,91
196,92
197,9
197,10
197,91
197,92
200,78
201,78
203,72
204,33
204,36
205,29
205,93
206,29
206,93
208,23
208,24
208,48
209,3
209,5
210,3
210,5
211,3
211,5
212,3
212,5
215,9
215,94
216,9
216,51
216,94
217,9
217,94
217,95
219,27
219,96
220,78
220,97
221,23
221,24
221,25
221,43
222,29
222,33
222,75
222,89
224,6
224,7
225,6
225,7
227,23
227,24
227,48
228,46
229,46
231,6
231,98
231,99
232,98
233,98
234,98
237,78
238,6
238,7
238,100
239,21
240,27
240,101
241,6
241,7
241,102
242,23
242,24
242,25
243,23
243,24
243,25
244,23
244,24
244,25
246,23
246,24
246,48
247,31
247,103
248,31
248,103
250,33
251,33
251,97
252,33
252,97
253,33
253,97
256,6
256,7
256,27
256,82
257,3
257,5
258,21
258,78
259,27
259,82
260,1
260,104
261,3
261,5
262,3
262,5
264,23
264,24
264,48
265,27
265,28
266,13
266,14
266,15
266,105
267,13
267,14
267,15
267,18
268,105
269,105
272,9
272,10
272,106
273,9
273,10
273,107
274,9
274,10
274,107
276,9
276,38
276,57
276,108
277,9
277,38
277,57
277,108
278,9
278,38
278,57
278,108
279,9
279,38
279,57
279,108
282,78
283,27
283,109
284,6
284,7
285,6
285,7
287,23
288,23
290,87
290,88
291,23
291,24
291,48
292,3
293,3
294,3
296,9
296,10
296,37
296,92
297,9
297,10
297,37
297,92
298,9
298,10
298,37
298,92
299,9
299,10
299,37
299,92
302,18
302,90
302,110
302,111
303,6
303,7
303,9
303,12
303,33
303,51
303,78
303,112
304,23
305,23
305,24
305,26
306,23
306,24
306,26
308,9
308,113
309,9
309,113
311,23
311,24
311,48
312,43
312,83
312,114
313,9
313,115
313,116
313,117
313,118
314,9
314,115
314,117
314,118
316,18
316,87
316,88
317,23
317,24
317,119
318,120
318,121
319,120
319,121
320,120
320,121
321,120
321,121
323,33
323,122
324,9
324,38
324,78
324,123
324,124
325,33
326,31
326,125
327,31
327,125
329,23
329,24
329,48
330,27
330,61
330,126
331,3
331,127
332,3
332,127
333,3
333,127
335,9
335,128
336,9
336,128
338,33
338,36
339,33
339,36
340,33
340,36
341,33
341,36
343,33
343,78
343,129
344,6
344,7
344,47
344,82
345,22
346,72
347,18
347,87
347,88
347,130
348,23
348,24
348,48
349,9
349,38
349,131
350,9
350,38
350,132
351,9
351,38
351,133
353,134
353,135
355,13
355,14
355,15
356,6
356,7
356,12
356,51
356,66
356,136
357,22
357,78
358,33
358,36
359,33
359,36
360,33
360,36
361,33
361,36
364,29
365,3
365,5
367,27
367,137
368,18
368,130
369,9
369,10
370,9
370,10
370,138
371,9
371,10
371,139
373,6
373,27
373,140
374,6
374,140
374,141
375,6
375,140
375,142
376,6
376,140
376,143
378,78
378,120
378,121
379,97
380,27
380,101
381,22
382,3
382,6
382,7
382,20
382,47
382,82
383,3
383,20
384,29
386,18
386,130
387,9
387,76
387,144
388,9
388,76
388,144
389,9
389,76
389,144
391,33
391,36
392,134
392,135
394,23
394,24
394,145
395,78
396,1
396,146
397,6
397,7
398,3
398,20
399,29
401,147
402,147
403,147
405,9
405,18
405,38
405,39
405,130
406,3
406,5
407,3
407,5
408,3
408,5
408,120
408,148
410,1
410,6
410,44
410,149
411,1
411,6
411,44
411,149
413,29
414,33
415,78
415,102
416,33
416,122
417,33
417,122
418,33
418,122
420,27
420,60
420,150
420,156
421,23
421,24
421,26
422,1
422,3
422,20
422,151
423,18
423,130
424,9
424,51
425,9
425,51
427,9
427,38
427,39
427,134
427,135
429,3
429,20
430,3
430,20
432,6
432,7
432,47
432,78
432,82
433,27
433,137
433,152
434,23
434,24
434,68
435,23
435,24
435,68
436,23
436,24
436,68
437,23
437,24
437,68
439,3
439,20
440,33
440,36
441,18
441,130
442,9
442,38
442,39
443,29
443,153
446,66
446,154
446,155
446,156
447,66
447,154
447,155
447,156
448,66
448,154
448,155
450,157
451,78
451,158
452,27
452,159
452,160
453,6
453,7
453,100
454,6
454,7
454,100
456,27
456,61
456,62
458,29
459,29
461,66
461,161
461,162
462,18
462,130
463,18
463,130
465,33
465,36
466,66
466,87
466,88
467,6
467,7
467,8
467,23
467,24
467,68
469,78
469,155
469,163
470,6
470,7
470,100
471,6
471,7
471,100
473,98
477,1
477,164
478,27
478,82
479,18
479,23
479,24
479,33
479,48
479,130
480,18
480,23
480,24
480,33
480,48
480,130
482,29
483,29
485,18
485,130
486,6
486,7
486,100
487,6
487,7
487,100
487,165
487,166
487,167
489,33
489,36
491,66
491,168
492,78
493,169
494,169
495,169
497,120
497,170
498,3
498,4
498,171
499,3
499,4
499,171
501,3
501,172
501,173
502,27
502,58
503,29
504,29
506,3
506,5
507,6
507,7
507,100
508,6
508,7
508,100
510,6
510,7
510,9
510,10
510,12
510,33
510,36
510,51
512,6
512,7
513,6
513,7
513,33
513,47
513,82
513,89
513,174
514,78
515,9
515,76
515,175
516,9
516,76
516,175
518,9
518,33
518,36
518,51
519,13
519,23
519,24
519,25
520,23
520,24
520,25
521,13
521,23
521,24
521,25
523,6
523,176
524,6
524,176
526,79
526,177
526,178
527,6
527,7
527,18
527,130
528,33
528,36
529,6
529,7
529,100
530,9
530,10
530,37
530,92
531,9
531,10
531,37
531,92
532,9
532,10
532,37
532,92
533,9
533,10
533,37
533,92
535,1
535,6
535,44
535,78
535,140
536,23
536,120
537,3
537,5
538,3
538,5
540,72
540,179
541,72
543,6
543,7
543,100
544,9
544,76
544,77
545,33
545,79
545,89
546,87
546,88
547,18
547,130
549,33
550,6
550,7
550,180
551,6
551,7
551,180
553,6
553,7
553,180
555,79
555,181
556,78
557,3
557,5
558,27
559,9
559,27
559,128
560,27
560,66
560,156
560,182
561,33
561,72
561,183
562,33
562,72
562,183
563,33
563,72
563,183
565,18
565,130
566,18
566,184
566,212
567,18
567,184
567,212
568,18
568,184
568,212
569,18
569,184
569,212
572,6
572,7
572,8
573,6
573,7
573,8
575,3
575,5
576,33
576,36
576,43
576,134
576,135
577,9
577,27
577,38
577,39
578,78
579,66
579,168
580,66
581,9
581,113
582,9
582,113
583,9
583,113
585,33
585,185
586,33
586,185
588,18
588,130
589,18
589,130
591,43
592,6
592,7
592,8
592,47
592,82
593,6
593,7
593,47
593,82
595,120
596,97
597,3
597,5
598,3
598,5
599,3
599,5
601,78
602,21
602,78
604,33
605,33
605,36
605,72
605,183
606,3
606,4
606,171
607,18
607,130
608,18
608,130
610,9
610,10
610,18
610,184
610,186
610,212
611,9
611,10
611,18
611,184
611,186
611,212
614,6
614,7
614,8
615,6
615,7
615,8
617,3
617,20
618,1
618,6
618,44
618,187
619,78
620,1
620,151
621,1
621,23
621,24
621,151
624,9
624,10
624,18
625,185
626,9
626,38
626,188
627,9
627,38
628,9
628,38
628,131
630,18
630,130
631,18
631,130
633,18
633,184
633,212
634,9
634,18
634,113
634,184
634,212
637,6
637,7
637,8
638,6
638,7
638,8
640,9
640,51
641,23
641,42
641,78
642,22
642,29
642,75
643,9
643,76
643,189
644,6
644,99
645,6
645,99
646,6
646,99
647,6
647,99
650,18
651,18
653,18
653,130
654,18
654,130
656,9
656,18
656,38
656,184
656,212
657,9
657,18
657,38
657,184
657,212
660,6
660,7
660,8
661,6
661,7
661,8
663,27
663,29
663,153
663,190
664,6
664,7
664,13
664,14
664,23
664,66
664,168
664,191
665,21
665,23
665,158
665,192
666,9
666,10
666,78
666,193
667,23
667,24
667,25
668,1
668,16
669,6
669,7
669,8
669,23
669,24
669,25
669,33
669,66
669,67
669,72
669,183
669,194
670,120
675,18
675,130
676,18
676,130
678,18
678,184
678,212
679,18
679,184
679,212
682,6
682,7
682,47
682,82
683,6
683,7
683,47
683,82
685,33
686,6
686,7
686,78
687,33
688,79
688,192
689,9
690,3
690,20
690,21
691,3
691,20
691,21
692,3
692,20
692,21
693,3
693,20
693,21
696,6
696,40
696,140
696,195
697,9
697,18
697,38
697,184
697,196
697,212
698,23
698,24
698,26
698,46
701,18
701,120
701,130
701,170
702,18
702,120
702,130
704,6
704,46
705,6
705,46
707,16
707,29
708,165
708,197
709,18
709,66
709,198
709,199
709,200
710,9
710,78
710,117
710,201
711,66
711,202
717,13
717,14
717,15
717,29
717,66
717,202
718,6
718,7
718,8
719,6
719,7
719,8
721,18
721,130
722,18
722,130
724,18
724,184
724,212
726,46
727,46
729,23
730,27
730,85
731,134
732,33
741,18
741,200
743,3
743,120
743,203
744,9
744,76
744,79
744,177
744,192
745,9
745,18
745,38
745,184
745,204
745,205
745,206
745,212
747,18
747,130
750,6
750,46
751,46
756,78
757,78
779,23
779,24
779,25
782,1
786,6
786,7
786,9
786,45
786,51
787,78
798,1
798,2
801,1
801,2
802,1
802,2
803,1
803,2
805,9
805,10
805,193
806,9
806,10
807,16
808,16
810,16
811,13
811,14
818,27
818,207
828,154
828,155
829,9
829,115
829,116
830,9
830,76
830,77
833,27
833,60
833,208
834,27
834,60
834,208
836,23
836,24
836,48
841,9
841,76
841,77
842,9
842,76
842,77
843,9
843,76
843,77
844,9
844,76
844,77
847,9
847,76
847,77
848,9
848,76
848,77
849,9
849,76
849,77
850,9
850,76
850,77
858,9
858,209
859,9
859,209
860,9
860,209
861,9
861,209
870,27
870,137
870,210
871,27
871,137
871,210
872,27
872,137
872,210
873,27
873,137
873,210
874,27
874,137
874,210
876,27
876,137
876,210
878,27
878,137
878,210
904,9
904,10
905,9
905,76
905,77
907,9
907,10
911,27
911,207
912,27
912,207
915,27
915,207
923,17
927,165
927,166
927,211
929,18
929,212
930,165
930,166
930,167
941,3
941,127
942,3
942,127
943,3
943,127
944,3
944,127
945,3
945,127
946,3
946,127
947,3
947,127
948,3
948,127
950,3
950,127
952,3
952,127
954,9
954,209
955,9
955,209
956,9
956,209
957,9
957,209
960,27
960,60
961,27
961,60
963,27
963,207
964,27
964,207
966,27
966,137
966,210
967,27
967,137
967,210
980,165
980,197
983,9
983,113
984,9
984,113
985,9
985,113
988,9
988,128
989,9
989,128
990,9
990,128
1014,27
1014,190
1015,27
1016,27
1016,213
1017,27
1020,27
1021,27
1021,190
1022,27
1023,27
1047,9
1047,38
1048,9
1048,38
1048,214
1049,9
1049,38
1049,214
1050,9
1050,115
1050,215
1051,9
1051,38
1052,9
1052,38
1052,214
1053,9
1053,38
1054,9
1054,38
1054,216
1056,9
1056,38
1056,217
1057,9
1057,38
1058,9
1058,38
1058,218
1060,9
1060,38
1060,214
1061,9
1061,38
1061,219
1062,9
1062,38
1062,220
1063,9
1063,38
1063,221
1065,9
1065,38
1066,9
1066,38
1066,214
1067,9
1067,38
1067,214
1068,9
1068,38
1068,219
1069,9
1069,38
1069,214
1070,9
1070,115
1070,215
1071,9
1071,38
1071,220
1072,9
1072,38
1072,221
1073,9
1073,38
1073,217
1074,9
1074,38
1075,9
1075,38
1076,9
1076,38
1076,214
1077,9
1077,38
1077,218
1078,9
1078,38
1079,9
1079,38
1080,9
1080,38
1080,216
1083,1
1083,222
1084,1
1084,222
1096,27
1096,207
1100,9
1100,38
1100,214
1101,9
1101,38
1101,214
1106,27
1106,207
1107,27
1107,207
1108,27
1108,207
1109,27
1109,207
1110,27
1110,207
1112,9
1112,38
1112,214
1113,9
1113,38
1113,214
1116,9
1116,94
1117,9
1117,94
1118,9
1118,94
1119,9
1119,94
1124,9
1124,94
1125,9
1125,94
1126,9
1126,94
1127,9
1127,94
1185,9
1185,76
1209,66
1209,223
1210,3
1211,3
1212,3
1212,224
1213,3
1213,224
1214,3
1214,224
1215,3
1215,224
1217,9
1217,94
1217,225
1218,9
1218,94
1218,225
1219,9
1219,94
1219,225
1220,9
1220,94
1220,225
1221,9
1221,94
1221,225
1222,9
1222,94
1222,225
1223,9
1223,94
1223,225
1224,9
1224,94
1224,225
1225,9
1225,94
1225,225
1226,9
1226,94
1226,225
1227,9
1227,94
1227,225
1228,9
1228,94
1228,225
1229,9
1229,94
1229,225
1230,9
1230,94
1230,225
1262,9
1262,113
1263,9
1263,113
1264,9
1264,113
1265,9
1265,113
1266,9
1266,113
1267,9
1267,113
1268,9
1268,113
1269,9
1269,113
1270,9
1270,113
1271,9
1271,113
1272,9
1272,113
1292,9
1292,38
1293,9
1293,38
1293,226
1296,3
1297,3
1322,3
1323,3
1324,3
1325,3
1326,3
1327,3
1328,3
1329,3
1330,3
1331,3
1338,9
1338,115
1338,227
1339,9
1339,115
1339,227
1340,9
1340,115
1340,227
1341,9
1341,115
1341,227
1342,9
1342,115
1342,227
1368,9
1368,76
1369,9
1369,76
1376,9
1376,76
1377,9
1377,76
1379,9
1379,76
1379,228
1384,9
1384,76
1384,228
1415,31
1492,9
1492,76
1493,9
1493,76
1495,9
1495,76
1508,9
1508,76
1509,9
1509,76
1510,9
1510,76
1535,9
1535,76
1540,27
1540,207
1542,27
1542,207
1545,9
1545,76
1545,77
1570,9
1570,76
1570,77
1581,9
1581,76
1581,77
1601,9
1601,10
1602,9
1602,10
1605,9
1605,10
1606,9
1606,10
1611,9
1611,10
1615,9
1615,10
1640,9
1640,10
1641,9
1641,10
1675,9
1675,10
1685,9
1685,10
1703,9
1703,10
1708,9
1708,10
1718,9
1718,10
1729,9
1729,10
1825,27
1825,207
1826,27
1826,207
1875,9
1875,10
1876,9
1876,10
1946,114
1947,114
1948,114
1949,114
1950,114
1951,114
2022,9
2022,76
2055,66
2055,229
2056,66
2056,229
2057,66
2057,229
2058,66
2058,229
2059,9
2059,38
2059,57
2060,9
2060,38
2060,57
2061,9
2061,38
2061,57
2063,3
2063,20
2063,23
2063,24
2063,66
2063,229
2063,230
2063,231
2064,3
2064,20
2064,23
2064,24
2064,66
2064,229
2064,230
2064,231
2065,9
2065,21
2065,38
2065,66
2065,229
2065,230
2065,232
2066,9
2066,21
2066,38
2066,66
2066,229
2066,230
2066,232
2068,9
2068,10
2068,233
2069,9
2069,10
2069,233
2070,9
2070,10
2070,233
2072,66
2072,229
2074,66
2074,229
2079,3
2079,20
2079,231
2080,3
2080,20
2080,231
2084,13
2085,13
2086,13
2087,13
2087,14
2093,9
2093,10
2093,233
2094,3
2094,20
2094,231
2095,3
2095,20
2095,231
2099,66
2099,229
2103,43
2111,18
2111,200
2111,234
2113,9
2113,10
2113,233
2115,230
2116,29
2116,235
2121,66
2121,229
2124,66
2124,229
2126,66
2126,229
2130,1
2130,29
2130,222
2130,236
2131,1
2131,29
2131,222
2131,236
2132,1
2132,29
2132,222
2132,236
2134,149
2134,237
2134,238
2135,149
2135,237
2135,238
2136,237
2136,238
2146,198
2146,239
2147,18
2147,200
2147,234
2151,66
2151,229
